time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:54.042687,2236,1631296374,42196512,,229,113,114,114
2021/09/10/13:52:54.058687,2237,1631296374,58229923,,230,115,114,114
2021/09/10/13:52:54.084484,2238,1631296374,84148645,,231,115,120,117
2021/09/10/13:52:54.100849,2239,1631296374,100150108,,232,115,120,117
2021/09/10/13:52:54.126851,2240,1631296374,126174926,,233,115,120,117
2021/09/10/13:52:54.142459,2241,1631296374,142052650,,234,115,120,117
2021/09/10/13:52:54.158741,2242,1631296374,158065319,,235,112,120,117
2021/09/10/13:52:54.184386,2243,1631296374,183954477,,236,112,116,117
2021/09/10/13:52:54.200494,2244,1631296374,199919462,,237,112,116,116
2021/09/10/13:52:54.226280,2245,1631296374,225881099,,238,112,116,116
2021/09/10/13:52:54.242270,2246,1631296374,241825580,,239,112,116,116
2021/09/10/13:52:54.258422,2247,1631296374,257935285,,240,118,116,116
2021/09/10/13:52:54.284164,2248,1631296374,283760547,,241,118,116,116
2021/09/10/13:52:54.300393,2249,1631296374,299840927,,242,118,115,117
2021/09/10/13:52:54.326089,2250,1631296374,325653791,,243,118,115,117
2021/09/10/13:52:54.341997,2251,1631296374,341655015,,244,118,115,117
2021/09/10/13:52:54.358144,2252,1631296374,357681751,,245,121,115,117
2021/09/10/13:52:54.384082,2253,1631296374,383647203,,246,121,115,117
2021/09/10/13:52:54.400005,2254,1631296374,399524211,,247,121,115,119
2021/09/10/13:52:54.425720,2255,1631296374,425458192,,248,121,115,119
2021/09/10/13:52:54.441761,2256,1631296374,441401004,,249,121,115,119
2021/09/10/13:52:54.458429,2257,1631296374,457570075,,250,121,115,119
2021/09/10/13:52:54.484670,2258,1631296374,484356641,,251,121,115,119
2021/09/10/13:52:54.500935,2259,1631296374,500344276,,252,121,117,119
2021/09/10/13:52:54.526666,2260,1631296374,526279211,,253,121,117,119
2021/09/10/13:52:54.542593,2261,1631296374,542214393,,254,121,117,119
2021/09/10/13:52:54.559158,2262,1631296374,558383226,,255,118,117,119
2021/09/10/13:52:54.584527,2263,1631296374,584203243,,256,118,117,119
2021/09/10/13:52:54.600650,2264,1631296374,600200414,,257,118,120,118
2021/09/10/13:52:54.626670,2265,1631296374,626057863,,258,118,120,118
2021/09/10/13:52:54.658051,2266,1631296374,657254457,,259,118,120,118
2021/09/10/13:52:54.658958,2267,1631296374,658441066,,260,116,120,118
2021/09/10/13:52:54.684387,2268,1631296374,684001207,,261,116,120,118
2021/09/10/13:52:54.700356,2269,1631296374,700002193,,262,116,124,118
2021/09/10/13:52:54.726274,2270,1631296374,725931406,,263,116,124,118
2021/09/10/13:52:54.742125,2271,1631296374,741886138,,264,116,124,118
